row,tile,c0,word_hex,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8,byte9,byte10,byte11,byte12,byte13,byte14,byte15
0,0,0,0x067f053ffe7f80ded0b58069d82fb712,6,127,5,63,-2,127,-128,-34,-48,-75,-128,105,-40,47,-73,18
1,1,4,0x450072858080fc7f80a47faf877f802f,69,0,114,-123,-128,-128,-4,127,-128,-92,127,-81,-121,127,-128,47
2,2,8,0x808fb180d2b8289d6f349580dbb0d2d7,-128,-113,-79,-128,-46,-72,40,-99,111,52,-107,-128,-37,-80,-46,-41
3,3,12,0x697f213b7ff408c47f7fb3807f7f407f,105,127,33,59,127,-12,8,-60,127,127,-77,-128,127,127,64,127
4,4,16,0x7fec1c79f4e58cb34837e6805d7f6280,127,-20,28,121,-12,-27,-116,-77,72,55,-26,-128,93,127,98,-128
5,5,20,0x80877ab2803e7f8680fe808074b57f27,-128,-121,122,-78,-128,62,127,-122,-128,-2,-128,-128,116,-75,127,39
6,6,24,0x08b37f01807f6bd26ff33f3912a57f80,8,-77,127,1,-128,127,107,-46,111,-13,63,57,18,-91,127,-128
7,7,28,0x768f0e84d6b0d7577f8040e680145f80,118,-113,14,-124,-42,-80,-41,87,127,-128,64,-26,-128,20,95,-128
8,8,32,0xc9bd66ab587f7ffe7fc280d280e78080,-55,-67,102,-85,88,127,127,-2,127,-62,-128,-46,-128,-25,-128,-128
9,9,36,0x800a177f7fe7207fe480df10183d9a7f,-128,10,23,127,127,-25,32,127,-28,-128,-33,16,24,61,-102,127
10,10,40,0x4ad6d78080902b7fe46b50d1cd7fb3ff,74,-42,-41,-128,-128,-112,43,127,-28,107,80,-47,-51,127,-77,-1
11,11,44,0x47277ffb0feb077fc0134ae480800b80,71,39,127,-5,15,-21,7,127,-64,19,74,-28,-128,-128,11,-128
12,12,48,0x807f8021617f80888074807fc566fe7f,-128,127,-128,33,97,127,-128,-120,-128,116,-128,127,-59,102,-2,127
13,13,52,0x80ab3772a18080304b9c2db912f87104,-128,-85,55,114,-95,-128,-128,48,75,-100,45,-71,18,-8,113,4
14,14,56,0x42807f61faf26cf57f7f6d4c207f1ef2,66,-128,127,97,-6,-14,108,-11,127,127,109,76,32,127,30,-14
15,15,60,0x800f02801ecab0118033077f80c9a54b,-128,15,2,-128,30,-54,-80,17,-128,51,7,127,-128,-55,-91,75
16,16,64,0x80801cb70c7f7f808f04a22a288045cb,-128,-128,28,-73,12,127,127,-128,-113,4,-94,42,40,-128,69,-53
17,17,68,0xcd7f25807f7f8b494080d8402e80807f,-51,127,37,-128,127,127,-117,73,64,-128,-40,64,46,-128,-128,127
18,18,72,0x80807d720cf380f6a5da097f59e20380,-128,-128,125,114,12,-13,-128,-10,-91,-38,9,127,89,-30,3,-128
19,19,76,0x7f7f9e067f7c1980800d4d7ff048807a,127,127,-98,6,127,124,25,-128,-128,13,77,127,-16,72,-128,122
20,20,80,0x8224a4e0f57f2b7f2eba7f80808b046a,-126,36,-92,-32,-11,127,43,127,46,-70,127,-128,-128,-117,4,106
21,21,84,0x456c6e807f221b1180be0a96be207f80,69,108,110,-128,127,34,27,17,-128,-66,10,-106,-66,32,127,-128
22,22,88,0x43afec8080ae7f06717f7fa07f808a59,67,-81,-20,-128,-128,-82,127,6,113,127,127,-96,127,-128,-118,89
23,23,92,0xdd808a2de7a70e7fb7f15aee7f7f4f7f,-35,-128,-118,45,-25,-89,14,127,-73,-15,90,-18,127,127,79,127
24,24,96,0x797f1bee5d3cd17f3a2226ec179053f2,121,127,27,-18,93,60,-47,127,58,34,38,-20,23,-112,83,-14
25,25,100,0x802a3261ec037f802a4fb27452807f80,-128,42,50,97,-20,3,127,-128,42,79,-78,116,82,-128,127,-128
26,26,104,0x0cdd132eab7f273e7feb1c400280807f,12,-35,19,46,-85,127,39,62,127,-21,28,64,2,-128,-128,127
27,27,108,0x4f064a0aa8139c7fe3c1bd7f9d2a80e6,79,6,74,10,-88,19,-100,127,-29,-63,-67,127,-99,42,-128,-26
28,28,112,0x07ad80be2180fbd4807b2b807f80e588,7,-83,-128,-66,33,-128,-5,-44,-128,123,43,-128,127,-128,-27,-120
29,29,116,0x2c80e8d8806110b3117fd0258096997f,44,-128,-24,-40,-128,97,16,-77,17,127,-48,37,-128,-106,-103,127
30,30,120,0xb9448016ce6e0b7fe1615d7fdb983fe2,-71,68,-128,22,-50,110,11,127,-31,97,93,127,-37,-104,63,-30
31,31,124,0xbfcf8067e0a17f057f807f077f227ffa,-65,-49,-128,103,-32,-95,127,5,127,-128,127,7,127,34,127,-6
