row,tile,c0,word_hex,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8,byte9,byte10,byte11,byte12,byte13,byte14,byte15
0,0,0,0x405710004107de40c03b5d00xxxxxxxx,64,87,16,0,65,7,-34,64,-64,59,93,0,x,x,x,x
1,1,4,0x3f6b940040506b003f2cb4003ebdf800,63,107,-108,0,64,80,107,0,63,44,-76,0,62,-67,-8,0
2,2,8,0x40264400bd26c00040d42f00bdc06000,64,38,68,0,-67,38,-64,0,64,-44,47,0,-67,-64,96,0
3,3,12,0xc0b09e80c06ef500c082238040457900,-64,-80,-98,-128,-64,110,-11,0,-64,-126,35,-128,64,69,121,0
4,4,16,0xbf112c003fd72000c09785803f70d400,-65,17,44,0,63,-41,32,0,-64,-105,-123,-128,63,112,-44,0
5,5,20,0x4044b9004070c300bff65600c09a4700,64,68,-71,0,64,112,-61,0,-65,-10,86,0,-64,-102,71,0
6,6,24,0x40777a0040b07580c06d8b00c0a73500,64,119,122,0,64,-80,117,-128,-64,109,-117,0,-64,-89,53,0
7,7,28,0x4021dc004058e500400aad003f17b800,64,33,-36,0,64,88,-27,0,64,10,-83,0,63,23,-72,0
8,8,32,0x3e30b000bf17fc003fba9800c0228800,62,48,-80,0,-65,23,-4,0,63,-70,-104,0,-64,34,-120,0
9,9,36,0xbfd1f800c0463300409bbd8040a2bd00,-65,-47,-8,0,-64,70,51,0,64,-101,-67,-128,64,-94,-67,0
10,10,40,0x409f0180c05abd00beef000041056700,64,-97,1,-128,-64,90,-67,0,-66,-17,0,0,65,5,103,0
11,11,44,0xc075b000c070320040a543803f31c400,-64,117,-80,0,-64,112,50,0,64,-91,67,-128,63,49,-60,0
12,12,48,0x40273a00bf3a7400befff0003ef0c000,64,39,58,0,-65,58,116,0,-66,-1,-16,0,62,-16,-64,0
13,13,52,0x3ea66800c0a0df003f146400bfc9fe00,62,-90,104,0,-64,-96,-33,0,63,20,100,0,-65,-55,-2,0
14,14,56,0xbfb04200bf21280040d1f2803e92a800,-65,-80,66,0,-65,33,40,0,64,-47,-14,-128,62,-110,-88,0
15,15,60,0x3fb75a003e228000c0332b00bf77d800,63,-73,90,0,62,34,-128,0,-64,51,43,0,-65,119,-40,0
16,16,64,0x40fdce8040989280c0a6c480c07ea700,64,-3,-50,-128,64,-104,-110,-128,-64,-90,-60,-128,-64,126,-89,0
17,17,68,0xbfcbd600409a5580c07dcb003ff02c00,-65,-53,-42,0,64,-102,85,-128,-64,125,-53,0,63,-16,44,0
18,18,72,0xc0a36d80bffe1400bce28000c07c9000,-64,-93,109,-128,-65,-2,20,0,-68,-30,-128,0,-64,124,-112,0
19,19,76,0x3ff1be00c0d2af00c08771803f6a9400,63,-15,-66,0,-64,-46,-81,0,-64,-121,113,-128,63,106,-108,0
20,20,80,0xc0e17c80c09b9b00bf727c004080fa00,-64,-31,124,-128,-64,-101,-101,0,-65,114,124,0,64,-128,-6,0
21,21,84,0x4011cb00c03bd0004070ca00bea79800,64,17,-53,0,-64,59,-48,0,64,112,-54,0,-66,-89,-104,0
22,22,88,0x408d2980bf61dc003f844e00c0a4ec80,64,-115,41,-128,-65,97,-36,0,63,-124,78,0,-64,-92,-20,-128
23,23,92,0x3dedc000bf77c000400f80003fc6d600,61,-19,-64,0,-65,119,-64,0,64,15,-128,0,63,-58,-42,0
24,24,96,0xc065510040d169803f2af800c004e200,-64,101,81,0,64,-47,105,-128,63,42,-8,0,-64,4,-30,0
25,25,100,0xc084578040940e003e870800c0881780,-64,-124,87,-128,64,-108,14,0,62,-121,8,0,-64,-120,23,-128
26,26,104,0xc089d900be8b50003fdca800c0dae700,-64,-119,-39,0,-66,-117,80,0,63,-36,-88,0,-64,-38,-25,0
27,27,108,0x3f48e000401c260040275900be283000,63,72,-32,0,64,28,38,0,64,39,89,0,-66,40,48,0
28,28,112,0x40699f00c04662003fb77400bf49b000,64,105,-97,0,-64,70,98,0,63,-73,116,0,-65,73,-80,0
29,29,116,0x3ee57000c0ec948040972280be584000,62,-27,112,0,-64,-20,-108,-128,64,-105,34,-128,-66,88,64,0
30,30,120,0x3fd9b600c1039ec0408e2080be808800,63,-39,-74,0,-63,3,-98,-64,64,-114,32,-128,-66,-128,-120,0
31,31,124,0x4061ee00c0071e00400845004037e700,64,97,-18,0,-64,7,30,0,64,8,69,0,64,55,-25,0
32,32,128,0x4103f580405e4a00400826003fca6c00,65,3,-11,-128,64,94,74,0,64,8,38,0,63,-54,108,0
33,33,132,0xbfbb8c00408976803fba2c00404ea600,-65,-69,-116,0,64,-119,118,-128,63,-70,44,0,64,78,-90,0
34,34,136,0xbcb88000c0a7628040772800406c7a00,-68,-72,-128,0,-64,-89,98,-128,64,119,40,0,64,108,122,0
35,35,140,0x401f0600c00605003d6e0000bf9d7800,64,31,6,0,-64,6,5,0,61,110,0,0,-65,-99,120,0
36,36,144,0xbee638003ffdaa00c00a280040d37c00,-66,-26,56,0,63,-3,-86,0,-64,10,40,0,64,-45,124,0
37,37,148,0xc087b4003fae7c0040ae2e80c01b5a00,-64,-121,-76,0,63,-82,124,0,64,-82,46,-128,-64,27,90,0
38,38,152,0x3f95fa0040eaba00bf6d3800c0238700,63,-107,-6,0,64,-22,-70,0,-65,109,56,0,-64,35,-121,0
39,39,156,0xc061a4003f92b4003fc4940040025a00,-64,97,-92,0,63,-110,-76,0,63,-60,-108,0,64,2,90,0
40,40,160,0xbf993c004090858041180a8040290c00,-65,-103,60,0,64,-112,-123,-128,65,24,10,-128,64,41,12,0
41,41,164,0xc120bc00400b78003fcf4800408e5a00,-63,32,-68,0,64,11,120,0,63,-49,72,0,64,-114,90,0
42,42,168,0x3fedd200c01d9300c02a11004089f880,63,-19,-46,0,-64,29,-109,0,-64,42,17,0,64,-119,-8,-128
43,43,172,0xbfc86200bfd9fa00400cc700c09c3500,-65,-56,98,0,-65,-39,-6,0,64,12,-57,0,-64,-100,53,0
44,44,176,0xbef3d800c01bda00bec2c000bfca0a00,-66,-13,-40,0,-64,27,-38,0,-66,-62,-64,0,-65,-54,10,0
45,45,180,0xc0b7d000bfe3d600c0772300400f7b00,-64,-73,-48,0,-65,-29,-42,0,-64,119,35,0,64,15,123,0
46,46,184,0xc08900003f864000c0f37300c0058000,-64,-119,0,0,63,-122,64,0,-64,-13,115,0,-64,5,-128,0
47,47,188,0x3e6cf0003f9d5800c021f500409f5a80,62,108,-16,0,63,-99,88,0,-64,33,-11,0,64,-97,90,-128
48,48,192,0xc042df00406c6a00bffa2c00c072a300,-64,66,-33,0,64,108,106,0,-65,-6,44,0,-64,114,-93,0
49,49,196,0x407c5f003fa81c00be225000c01e6500,64,124,95,0,63,-88,28,0,-66,34,80,0,-64,30,101,0
50,50,200,0xbf2e9000404bc000c0da7a803fbf1e00,-65,46,-112,0,64,75,-64,0,-64,-38,122,-128,63,-65,30,0
51,51,204,0xbe3d50003f07d400bfed18003fc74e00,-66,61,80,0,63,7,-44,0,-65,-19,24,0,63,-57,78,0
52,52,208,0x4013d200407b4900c08ba5804012a000,64,19,-46,0,64,123,73,0,-64,-117,-91,-128,64,18,-96,0
53,53,212,0x3f3e6400c096eb004020ea00bf68dc00,63,62,100,0,-64,-106,-21,0,64,32,-22,0,-65,104,-36,0
54,54,216,0x3d85200040ba11803e8d6800bf06e000,61,-123,32,0,64,-70,17,-128,62,-115,104,0,-65,6,-32,0
55,55,220,0x4095b98040a5a280bf08580040c37e80,64,-107,-71,-128,64,-91,-94,-128,-65,8,88,0,64,-61,126,-128
56,56,224,0x4069b0003f722800bfed5a00c09ec500,64,105,-80,0,63,114,40,0,-65,-19,90,0,-64,-98,-59,0
57,57,228,0xc07c9e0040c67900c0398800bfef4400,-64,124,-98,0,64,-58,121,0,-64,57,-120,0,-65,-17,68,0
58,58,232,0x4099d0004050d500c0641b00c049db00,64,-103,-48,0,64,80,-43,0,-64,100,27,0,-64,73,-37,0
59,59,236,0xc0687900be087000c03f76004002cf00,-64,104,121,0,-66,8,112,0,-64,63,118,0,64,2,-49,0
60,60,240,0xc11d6900bf27d800401cc900c0862980,-63,29,105,0,-65,39,-40,0,64,28,-55,0,-64,-122,41,-128
61,61,244,0xc0019d0040f9e000bf70b800c0a52d00,-64,1,-99,0,64,-7,-32,0,-65,112,-72,0,-64,-91,45,0
62,62,248,0xbf042c00bf3d7400c08490803ffc5a00,-65,4,44,0,-65,61,116,0,-64,-124,-112,-128,63,-4,90,0
63,63,252,0xc0c0cf0040570b0040d05c80bfad7400,-64,-64,-49,0,64,87,11,0,64,-48,92,-128,-65,-83,116,0
64,64,256,0xbfe20600c095d600c104fac0c0aa9800,-65,-30,6,0,-64,-107,-42,0,-63,4,-6,-64,-64,-86,-104,0
65,65,260,0xc060f800c02cd000c05ea500406a3900,-64,96,-8,0,-64,44,-48,0,-64,94,-91,0,64,106,57,0
66,66,264,0xbf6324003f681400c0c804803ff53200,-65,99,36,0,63,104,20,0,-64,-56,4,-128,63,-11,50,0
67,67,268,0xbf78bc003e60f0003e2e4000c0782100,-65,120,-68,0,62,96,-16,0,62,46,64,0,-64,120,33,0
68,68,272,0xc0d6b600bfe67000c1039e80c1046640,-64,-42,-74,0,-65,-26,112,0,-63,3,-98,-128,-63,4,102,64
69,69,276,0x3e9dd8003fadf000407c6e00404bd300,62,-99,-40,0,63,-83,-16,0,64,124,110,0,64,75,-45,0
70,70,280,0x3cb80000c081ba80c0b83580bf043c00,60,-72,0,0,-64,-127,-70,-128,-64,-72,53,-128,-65,4,60,0
71,71,284,0x4096408040c90000c0328f00bfd70c00,64,-106,64,-128,64,-55,0,0,-64,50,-113,0,-65,-41,12,0
72,72,288,0x3f145800c07c9400405123004034ff00,63,20,88,0,-64,124,-108,0,64,81,35,0,64,52,-1,0
73,73,292,0x3f558000c00bab00bf2cc800c0b9c080,63,85,-128,0,-64,11,-85,0,-65,44,-56,0,-64,-71,-64,-128
74,74,296,0x40fec300c044da00409b3b803f403000,64,-2,-61,0,-64,68,-38,0,64,-101,59,-128,63,64,48,0
75,75,300,0xbf9ea2003ee9d000bf445400bfd2ba00,-65,-98,-94,0,62,-23,-48,0,-65,68,84,0,-65,-46,-70,0
76,76,304,0x40bbca80c042a6004089448040b34800,64,-69,-54,-128,-64,66,-90,0,64,-119,68,-128,64,-77,72,0
77,77,308,0x40864d00bf9de800bf94e60040f45d80,64,-122,77,0,-65,-99,-24,0,-65,-108,-26,0,64,-12,93,-128
78,78,312,0x3fa26800bdc120004066e800bd6e8000,63,-94,104,0,-67,-63,32,0,64,102,-24,0,-67,110,-128,0
79,79,316,0x3fbb9c00bf9f1200c011ba003f539400,63,-69,-100,0,-65,-97,18,0,-64,17,-70,0,63,83,-108,0
80,80,320,0xc008d3003fb2fe003fd18e0040c16780,-64,8,-45,0,63,-78,-2,0,63,-47,-114,0,64,-63,103,-128
81,81,324,0xbf39440040f63100c02d7a003edcb000,-65,57,68,0,64,-10,49,0,-64,45,122,0,62,-36,-80,0
82,82,328,0x3fe07200c0c20200c0f8a180c08ac380,63,-32,114,0,-64,-62,2,0,-64,-8,-95,-128,-64,-118,-61,-128
83,83,332,0x3d954000c0965a00bfba64003f201c00,61,-107,64,0,-64,-106,90,0,-65,-70,100,0,63,32,28,0
84,84,336,0xc0816580407638004053c1003ea3c800,-64,-127,101,-128,64,118,56,0,64,83,-63,0,62,-93,-56,0
85,85,340,0x3d9f4000bf8b2c003ff0d80040389c00,61,-97,64,0,-65,-117,44,0,63,-16,-40,0,64,56,-100,0
86,86,344,0xc0922580c08d5880c0666700c10deb80,-64,-110,37,-128,-64,-115,88,-128,-64,102,103,0,-63,13,-21,-128
87,87,348,0x3f951200c0b417003fefde00bc3e0000,63,-107,18,0,-64,-76,23,0,63,-17,-34,0,-68,62,0,0
88,88,352,0x40cc4d003f8db200bf4e20003fa1c000,64,-52,77,0,63,-115,-78,0,-65,78,32,0,63,-95,-64,0
89,89,356,0x3fb03a004002b700409c4c00c0847700,63,-80,58,0,64,2,-73,0,64,-100,76,0,-64,-124,119,0
90,90,360,0x40296c00bfe58a003f87220040999d00,64,41,108,0,-65,-27,-118,0,63,-121,34,0,64,-103,-99,0
91,91,364,0xc050f200c078e700409ce700bdc98000,-64,80,-14,0,-64,120,-25,0,64,-100,-25,0,-67,-55,-128,0
92,92,368,0xc0ab37003fba5400c0d3d300c00e6d00,-64,-85,55,0,63,-70,84,0,-64,-45,-45,0,-64,14,109,0
93,93,372,0xbf0ed400401a5d00410212c0c0bdc980,-65,14,-44,0,64,26,93,0,65,2,18,-64,-64,-67,-55,-128
94,94,376,0x40880c803e9bf00040bb1580c0996700,64,-120,12,-128,62,-101,-16,0,64,-69,21,-128,-64,-103,103,0
95,95,380,0xc081f60040676100bf4130003eed7000,-64,-127,-10,0,64,103,97,0,-65,65,48,0,62,-19,112,0
96,96,384,0x3f4d3800bfc06200c02ff00040997000,63,77,56,0,-65,-64,98,0,-64,47,-16,0,64,-103,112,0
97,97,388,0x403fe90040f17480bf7918003f840c00,64,63,-23,0,64,-15,116,-128,-65,121,24,0,63,-124,12,0
98,98,392,0x3e06b0003febac00400ff0003fee3e00,62,6,-80,0,63,-21,-84,0,64,15,-16,0,63,-18,62,0
99,99,396,0x406d19004094b100bf68f400bf233c00,64,109,25,0,64,-108,-79,0,-65,104,-12,0,-65,35,60,0
100,100,400,0x40087b003e73e000c079a3004103c2c0,64,8,123,0,62,115,-32,0,-64,121,-93,0,65,3,-62,-64
101,101,404,0x3f87d200403e4200c08a7880be1a0000,63,-121,-46,0,64,62,66,0,-64,-118,120,-128,-66,26,0,0
102,102,408,0xbf348800c04afd00c05c8400c05ffb00,-65,52,-120,0,-64,74,-3,0,-64,92,-124,0,-64,95,-5,0
103,103,412,0x3ef5c8003ff1c600c00202003fc6f000,62,-11,-56,0,63,-15,-58,0,-64,2,2,0,63,-58,-16,0
104,104,416,0x408a4d00bfc64800bfcede003fde2c00,64,-118,77,0,-65,-58,72,0,-65,-50,-34,0,63,-34,44,0
105,105,420,0x40692500c089c5004004ba003ddca000,64,105,37,0,-64,-119,-59,0,64,4,-70,0,61,-36,-96,0
106,106,424,0x3e1b3000bf4258003fc67400c05e4700,62,27,48,0,-65,66,88,0,63,-58,116,0,-64,94,71,0
107,107,428,0xc0665c00c0a60e00c0895780bec02000,-64,102,92,0,-64,-90,14,0,-64,-119,87,-128,-66,-64,32,0
108,108,432,0x40a60d80c03bab0040b95a003fcb4a00,64,-90,13,-128,-64,59,-85,0,64,-71,90,0,63,-53,74,0
109,109,436,0xc08cfd00c061570040a90f80bec4d800,-64,-116,-3,0,-64,97,87,0,64,-87,15,-128,-66,-60,-40,0
110,110,440,0xc01b2e00bfd34200bfbdce0040807800,-64,27,46,0,-65,-45,66,0,-65,-67,-50,0,64,-128,120,0
111,111,444,0x3f8dc800c027e8004075a100403d4100,63,-115,-56,0,-64,39,-24,0,64,117,-95,0,64,61,65,0
112,112,448,0xc1178080c086d900bee298003fef4800,-63,23,-128,-128,-64,-122,-39,0,-66,-30,-104,0,63,-17,72,0
113,113,452,0xbf879400400311003ffa4e00bf835200,-65,-121,-108,0,64,3,17,0,63,-6,78,0,-65,-125,82,0
114,114,456,0x3f768800bf17d400c01a7300beb20800,63,118,-120,0,-65,23,-44,0,-64,26,115,0,-66,-78,8,0
115,115,460,0xbff81a00c063d2004094c0803f8f9800,-65,-8,26,0,-64,99,-46,0,64,-108,-64,-128,63,-113,-104,0
116,116,464,0xc0da3c8040701d0040881e00bfe14a00,-64,-38,60,-128,64,112,29,0,64,-120,30,0,-65,-31,74,0
117,117,468,0xc00fd500be32f000bc280000c08eaf80,-64,15,-43,0,-66,50,-16,0,-68,40,0,0,-64,-114,-81,-128
118,118,472,0x3fa2f6004127ebc0c0575a0040d66580,63,-94,-10,0,65,39,-21,-64,-64,87,90,0,64,-42,101,-128
119,119,476,0x4083a70040a231803fc11800bfdfee00,64,-125,-89,0,64,-94,49,-128,63,-63,24,0,-65,-33,-18,0
120,120,480,0xc019b900bfc42a0040398800c01c5700,-64,25,-71,0,-65,-60,42,0,64,57,-120,0,-64,28,87,0
121,121,484,0x3f305400409a1f8040438300bfefe800,63,48,84,0,64,-102,31,-128,64,67,-125,0,-65,-17,-24,0
122,122,488,0x40d5c880c07b8100c08534803f40c000,64,-43,-56,-128,-64,123,-127,0,-64,-123,52,-128,63,64,-64,0
123,123,492,0xc04827003f9e200040803000c04f7100,-64,72,39,0,63,-98,32,0,64,-128,48,0,-64,79,113,0
124,124,496,0x3e4cc0003fb654003fa0020040cd8500,62,76,-64,0,63,-74,84,0,63,-96,2,0,64,-51,-123,0
125,125,500,0x4107aac03f8dca003f158c00bef8e800,65,7,-86,-64,63,-115,-54,0,63,21,-116,0,-66,-8,-24,0
126,126,504,0x408c418040518400c02cb30040f3fb00,64,-116,65,-128,64,81,-124,0,-64,44,-77,0,64,-13,-5,0
127,127,508,0xbfee62004087c400be9180003ecc2000,-65,-18,98,0,64,-121,-60,0,-66,-111,-128,0,62,-52,32,0
