row,tile,c0,word_hex,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8,byte9,byte10,byte11,byte12,byte13,byte14,byte15
0,0,0,0xdecaa3ddca8741e389ab54a62ea6bf32,-34,-54,-93,-35,-54,-121,65,-29,-119,-85,84,-90,46,-90,-65,50
1,1,4,0xb1c88e563e959657ac45e2eb38fef208,-79,-56,-114,86,62,-107,-106,87,-84,69,-30,-21,56,-2,-14,8
2,2,8,0xc3853bcff41b2887efb70c7dd3a912ca,-61,-123,59,-49,-12,27,40,-121,-17,-73,12,125,-45,-87,18,-54
3,3,12,0x02f38f6c34905ccb1e7f88846210d839,2,-13,-113,108,52,-112,92,-53,30,127,-120,-124,98,16,-40,57
4,4,16,0x0a6ba7de68f093fc694caea1b30220bd,10,107,-89,-34,104,-16,-109,-4,105,76,-82,-95,-77,2,32,-67
5,5,20,0xb719aaab02fdde342be11674371593cf,-73,25,-86,-85,2,-3,-34,52,43,-31,22,116,55,21,-109,-49
6,6,24,0x6de2329284b348ba3cede46637a1ebf6,109,-30,50,-110,-124,-77,72,-70,60,-19,-28,102,55,-95,-21,-10
7,7,28,0x7b3f5c8c7ebc7e4620e1097fbfd5f176,123,63,92,-116,126,-68,126,70,32,-31,9,127,-65,-43,-15,118
8,8,32,0x356bcc5c1d1c569d97ee6055bdd43ceb,53,107,-52,92,29,28,86,-99,-105,-18,96,85,-67,-44,60,-21
9,9,36,0x6c32b2f663bef55c2d1d08997827cbe1,108,50,-78,-10,99,-66,-11,92,45,29,8,-103,120,39,-53,-31
10,10,40,0x36d9d853012bdeb5a5aa870329884c43,54,-39,-40,83,1,43,-34,-75,-91,-86,-121,3,41,-120,76,67
11,11,44,0x9d19d809c7c5bcf9d14d3023b51135c3,-99,25,-40,9,-57,-59,-68,-7,-47,77,48,35,-75,17,53,-61
12,12,48,0x017b542d91adfca1867333d94c945010,1,123,84,45,-111,-83,-4,-95,-122,115,51,-39,76,-108,80,16
13,13,52,0x3aa16f4513252514ae97e44d48b80c4d,58,-95,111,69,19,37,37,20,-82,-105,-28,77,72,-72,12,77
14,14,56,0xba604a06dc4df32bb5608979904ffefc,-70,96,74,6,-36,77,-13,43,-75,96,-119,121,-112,79,-2,-4
15,15,60,0xca99df55035447543b1165d0eacb2964,-54,-103,-33,85,3,84,71,84,59,17,101,-48,-22,-53,41,100
16,16,64,0x1c2902e7ce82e5ee5f63459471c5634a,28,41,2,-25,-50,-126,-27,-18,95,99,69,-108,113,-59,99,74
17,17,68,0x5d021de9634a4ac71c778d842f94a30c,93,2,29,-23,99,74,74,-57,28,119,-115,-124,47,-108,-93,12
18,18,72,0xaa0e68036319ac2b9b50fb44c0469ebe,-86,14,104,3,99,25,-84,43,-101,80,-5,68,-64,70,-98,-66
19,19,76,0x9de08c5d9e09a2cd2261767dfadccbc7,-99,-32,-116,93,-98,9,-94,-51,34,97,118,125,-6,-36,-53,-57
20,20,80,0x14f9832ef837a421a1c63652c43043c7,20,-7,-125,46,-8,55,-92,33,-95,-58,54,82,-60,48,67,-57
21,21,84,0x0953f6334cc446203781edb9bf40e7d9,9,83,-10,51,76,-60,70,32,55,-127,-19,-71,-65,64,-25,-39
22,22,88,0x4ef41d01230277806c1c70f39b1a8990,78,-12,29,1,35,2,119,-128,108,28,112,-13,-101,26,-119,-112
23,23,92,0xe0c6c9895486114db5bde98810bac4af,-32,-58,-55,-119,84,-122,17,77,-75,-67,-23,-120,16,-70,-60,-81
24,24,96,0xd638d19ea75946d854bc4ae582da8ec2,-42,56,-47,-98,-89,89,70,-40,84,-68,74,-27,-126,-38,-114,-62
25,25,100,0x733a060a594dac00e61b843d3861abe8,115,58,6,10,89,77,-84,0,-26,27,-124,61,56,97,-85,-24
26,26,104,0x39a82c277b51b11a979a85f6e4fb4117,57,-88,44,39,123,81,-79,26,-105,-102,-123,-10,-28,-5,65,23
27,27,108,0xecf8a31f71f3d0ecb6dc0ccbe4ba58af,-20,-8,-93,31,113,-13,-48,-20,-74,-36,12,-53,-28,-70,88,-81
28,28,112,0xca81a33ee947a184ebb99a604da4c423,-54,-127,-93,62,-23,71,-95,-124,-21,-71,-102,96,77,-92,-60,35
29,29,116,0xc53b3d4a7962b943de48405c1e15f06b,-59,59,61,74,121,98,-71,67,-34,72,64,92,30,21,-16,107
30,30,120,0x1684782c49ccd89574cdf682ae0161d4,22,-124,120,44,73,-52,-40,-107,116,-51,-10,-126,-82,1,97,-44
31,31,124,0x6e8d61f070ed0afbf4f5ce0e1ec621f9,110,-115,97,-16,112,-19,10,-5,-12,-11,-50,14,30,-58,33,-7
